outlook,       # forecast
$temperature, # degrees Farenheit,
$humidity,    # % of dewpoint
windy,        # boolean
=play          # goal
#################################################
overcast	,14		,65		,TRUE	,yes
rainy		,15		,70		,TRUE	,no
rainy		,16		,80		,FALSE	,yes
sunny		,17		,70		,FALSE	,no
rainy		,18		,96		,FALSE	,yes
#################################################
rainy		,69		,91		,TRUE	,yes
overcast	,70		,90		,TRUE	,no
sunny		,71		,95		,FALSE	,yes
rainy		,72		,80		,FALSE	,no
sunny		,73		,70		,TRUE	,yes
#################################################
sunny		,180		,90		,TRUE	,no
overcast	,181		,75		,FALSE	,no
overcast	,183		,86		,FALSE	,no
sunny		,185		,85		,FALSE	,no
